sujeto,p1,p2,p3,sesgada
1,b,si,3,no
2,b,si,4,no
3,b,no,0,no
4,b,si,4,no
5,b,si,4,no
6,c,no,0,no
7,b,si,abs,no
8,b,si,2,no
9,b,si,4,no
10,b,si,4,no
11,a,no,0,no
12,b,no,0,no
13,c,si,6,no
14,b,si,3,no
15,b,si,4,no
16,b,no,0,no
17,c,no,0,no
18,b,no,0,no
19,b,si,14,no
20,a,no,0,no
21,b,si,1.5,si
22,b,si,1,si
23,c,si,5,si
24,a,si,6,si
25,a,no,0,si
26,b,si,4,si
27,c,si,4,si
28,a,si,6,si
29,c,no,0,si
30,b,si,4,si
31,b,no,0,si
32,c,si,12,si
33,a,si,1,si
34,b,si,4,si
35,b,si,4,si
36,b,si,1,si
37,a,si,4,si
38,b,si,3,si
39,b,si,5,si
40,b,si,7,si
