Individuos,P1,P2,P3,P4,Sesgada
1,F,M,0,IS,NS
2,M,M,2,MO,NS
3,F,M,0,IS,NS
4,M,M,1,MO,NS
5,F,M,2,MO,NS
6,F,M,3,MO,NS
7,F,M,0,MO,NS
8,M,M,0,IS,NS
9,M,M,0,MO,NS
10,M,M,0,MO,NS
11,M,B,0,MO,NS
12,F,B,0,MO,NS
13,F,B,0,IS,NS
14,F,M,3,MO,NS
15,M,SI,NO,NO,S
16,F,SI,NO,NO,S
17,F,SI,NO,SI,S
18,M,NO,NO,NO,S
19,F,SI,SI,SI,S
20,M,SI,NO,NO,S
21,F,SI,NO,SI,S
22,M,SI,NO,NO,S
23,F,NO,NO,NO,S
24,F,NO,NO,NO,S
25,F,SI,NO,NO,S
26,F,SI,SI,NO,S
27,F,NO,NO,SI,S
28,F,SI,NO,NO,S
29,F,NO,NO,SI,S
30,M,B,0,MO,NS
31,M,M,0,MO,NS
32,F ,M,2,MO,NS
33,M,M,0,MO,NS
34,F,M,0,MO,NS
35,F,M,2,MO,NS
36,M,SI,NO,NO,S
37,M,SI,NO,SI,S
38,F,NO,NO,SI,S
39,F,NO,NO,NO,S
40,F,SI,NO,SI,S
