,p1,p2,p3,p4,p5,sesgada,,sabias que la industria de la moda es la segunda mayor contaminante del mundo,,,,
1,b),b),a),b),b),ng,,,,,,
2,a),b),b),a),b),ng,,cuanto tiempo tardas en la regadera,,,,
3,a),b),b),a),b),ng,,,,,,
4,a),a),b),b),b),ng,,bolsas de platico de un solo uso,,,,
5,a),c),b),a),a),ng,,,,,,
6,b),c),b),b),b),ng,,consideras que lavar el carro tiene un impacto en el ambiente,,,,
7,a),b),a),b),b),ng,,,,,,
8,b),a),b),b),b),ng,,sabias que lavar un auto con cubeta ahorra 450 lt de agua,,,,
9,b),b),a),a),b),ng,,,,,,
10,b),b),b),b),b),ng,,,,,,
11,b),c),b),b),b),ng,,,,,,
12,a),b),a),a),b),ng,,,,,,
13,a),a),b),a),b),ng,,,,,,
14,a),b),a),a),b),ng,,,,,,
15,b),b),a),a),b),ng,,,,,,
16,a),b),a),a),a),ng,,,,,,
17,a),a),a),a),a),ng,,,,,,
18,b),b),b),a),a),ng,,,,,,
19,b),a),a),b),b),ng,,,,,,
20,b),a),a),b),b),ng,,,,,,
21,a),c),a),a),a),sg,,,,,,
22,b),a),a),a),a),sg,,,,,,
23,a),a),a),a),a),sg,,,,,,
24,a),a),b),a),a),sg,,,,,,
25,a),a),b),a),a),sg,,,,,,
26,a),a),a),a),a),sg,,,,,,
27,a),a),a),a),a),sg,,,,,,
28,a),a),b),a),b),sg,,,,,,
29,b),b),a),a),a),sg,,,,,,
30,a),b),b),a),b),sg,,,,,,
31,a),a),b),a),b),sg,,,,,,
32,a),b),a),a),b),sg,,,,,,
33,b),c),b),a),b),sg,,,,,,
34,a),b),a),a),b),sg,,,,,,
35,b),a),a),a),b),sg,,,,,,
36,b),c),a),a),b),sg,,,,,,
37,b),a),a),a),b),sg,,,,,,
38,a),a),a),b),b),sg,,,,,,
39,b),b),a),a),b),sg,,,,,,
40,b),a),a),b),b),sg,,,,,,
