Cerillos Clásicos 1,Cerillos Perla 1,Cerillos Clásicos 2,Cerillos Jaguares 2,Cerillos Perla 3,Cerillos Jaguares 3,
49.53,58.6,49.53,50.2,58.6,50.2,
53.74,51.07,53.74,46.51,51.07,46.51,
56.71,49.51,56.71,49.4,49.51,49.4,
49.36,60.02,49.36,46.56,60.02,46.56,
44.63,58.06,44.63,46.76,58.06,46.76,
50.2,60.4,50.2,52.71,60.4,52.71,
48,55.52,48,51.81,55.52,51.81,
50.14,59.39,50.14,42.88,59.39,42.88,
54.74,54.68,54.74,58.11,54.68,58.11,
53.56,52.34,53.56,50.92,52.34,50.92,
54.64,50.87,54.64,47.9,50.87,47.9,
60,60.86,60,54.59,60.86,54.59,
48.28,60.01,48.28,50.7,60.01,50.7,
53.1,54.04,53.1,53.5,54.04,53.5,
53.49,52.66,53.49,49.49,52.66,49.49,
53.86,57.26,53.86,47.65,57.26,47.65,
54.1,58.54,54.1,51.63,58.54,51.63,
50.86,53.46,50.86,47.39,53.46,47.39,
50.16,57.37,50.16,49.91,57.37,49.91,
47.38,60,47.38,50.1,60,50.1,
